企业名称,所在镇街,主要类型,分类依据,主营产品,数据来源,证据片段
华南（广东）国际数据交易有限公司,桂城街道,数据资源,主营数据交易、数据资产运营与数据资源汇聚,数据交易平台、数据资产运营服务,https://www.qcc.com/crun/a4b2d066a0f066fe818d9ef7549697a5.html,广东省数据要素市场化配置改革重要平台，主营数据处理与交易服务
佛山市达衍数据科技有限公司,桂城街道,数据资源,从事数据采集、标注、清洗与整理加工服务,数据标注服务、数据清洗服务,https://shuidi.cn/company-3ed26cf87c5f10564d71b21bb0aebf01.html,经营范围含大数据服务、数据处理和存储支持服务
广东瑞州科技股份有限公司,桂城街道,数据资源,行业数据库建设、数据资源汇聚与运营,行业数据库、数据资源服务,https://blog.csdn.net/weixin_33889665/article/details/90363230,瀚天科技园入驻大数据企业，主营数据资源服务
广东艾科智泊科技股份有限公司,桂城街道,数据资源,停车数据采集、整理、标注与运营,智慧停车数据库、停车数据运营,https://www.jobui.com/rank/company/salary/foshan/dashuju/area190602/year5/,专精特新小巨人企业，主营大数据与智慧城市数据服务
佛山市人才和数据科技集团有限公司,桂城街道,数据资源,人才数据资源汇聚、整理、标注与运营,人才大数据平台、人才数据服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,专注人才数据服务，数据处理与挖掘能力突出
广东金赋科技股份有限公司,桂城街道,数据技术,提供大数据平台、AI算法、数据分析与智能决策技术,大数据智能平台、数据分析系统,https://www.zhipin.com/companys/9ad7ffe330827cc11XVy09-6Eg~~,提供数据处理、人工智能算法与大数据平台服务
广东柯内特环境科技有限公司,桂城街道,数据技术,环境大数据分析平台开发、数据建模与AI识别技术,环境大数据分析系统、环境AI平台,https://blog.csdn.net/weixin_33889665/article/details/90363230,瀚天科技园大数据企业，主营环境数据技术
广东浩迪创新科技有限公司,桂城街道,数据技术,能源大数据建模、分析、挖掘与智能优化技术,能源大数据平台、能源智能分析系统,https://blog.csdn.net/weixin_33889665/article/details/90363230,专注能源数据处理与智能分析技术
佛山市浪潮信息技术有限公司,桂城街道,数据技术,大数据平台、数据中台、分布式计算与数据挖掘技术,浪潮大数据平台、数据中台系统,https://blog.csdn.net/weixin_33889665/article/details/90363230,提供大数据平台搭建与数据中台解决方案
简柏特（佛山）信息技术服务有限公司,桂城街道,数据技术,数据分析、商业智能BI、数据建模与可视化技术,BI数据分析平台、数据可视化系统,https://blog.csdn.net/weixin_33889665/article/details/90363230,提供数据处理与商业智能分析服务
广东中为信息技术有限公司,桂城街道,数据技术,大数据、商务智能、云计算、数据建模与数字化转型技术,商务智能分析系统、大数据云计算平台,https://www.jobui.com/rank/company/salary/foshan/dashuju/area190602/year5/,主营大数据、商务智能与数字化转型技术
广东省灵泽万川人工智能科技有限公司,桂城街道,数据技术,AI算法、机器学习模型、大数据分析与智能决策技术,人工智能算法平台、大数据智能分析系统,https://www.fsonline.com.cn/FS_PLUS/1021118.html,数字化服务商，专注人工智能与大数据技术
广东卓维网络有限公司,桂城街道,数据技术,大数据分析、智能决策系统、数据建模与AI应用技术,智能决策分析平台、大数据AI系统,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,提供数据处理、AI与智能决策技术服务
广东蝉鸣信息科技有限公司,桂城街道,数据技术,大数据超算模型、数据挖掘、机器学习与网络安全技术,大数据挖掘平台、超算AI系统,https://www.jobui.com/rank/company/salary/foshan/dashuju/area190602/year5/,高新技术企业，主营大数据与信息安全技术
广东恒泊智能科技有限公司,桂城街道,数据技术,工业大数据建模、智能分析、数据挖掘与智能制造技术,工业大数据平台、工业智能分析系统,https://www.jobui.com/rank/company/salary/foshan/dashuju/area190602/year5/,专注工业数据处理与智能分析技术
广东辰宜信息科技有限公司,桂城街道,数据技术,大数据超算模型、机器视觉、隐私计算与AI算法技术,大数据超算平台、隐私计算AI系统,https://www.qcc.com/crun/5cc2df997e6fc1e39af09fe95f1a8f81.html,高新技术企业，主营大数据与人工智能技术
广东徐工汉云工业互联网有限公司,桂城街道,数据应用,工业互联网大数据平台、行业场景落地与智能制造赋能,工业互联网平台、智能制造行业解决方案,https://www.chacewang.com/newsdetail/news668535.html,数字化服务商，深耕工业互联网场景数据应用
佛山市南海区大数据投资建设有限公司,桂城街道,数据服务,承担数字政府建设、数据资产管理、平台运营与数字化交付服务,数字政府平台、数据资产管理服务,https://www.nfnews.com,实现政府数据实时对接并提供数字化服务
广东云顺通科技信息有限公司,桂城街道,数据服务,数据咨询、数字化转型服务、数据治理与系统集成交付,数字化转型咨询服务、数据治理服务,https://www.jobui.com/rank/company/view/foshan/wangluoanquan/area190602/,提供数据咨询与系统集成服务
佛山市智慧数据服务有限公司,桂城街道,数据服务,政务数据运营、BI报表、可视化与数据共享落地服务,政务数据运营服务、BI可视化服务,https://www.jobui.com/rank/company/view/foshan/shujufuwu/area190602/,提供政务数据运营与可视化服务
